,Bulk_Density,CEC,Clay_Content,Coarse_Fragments,Dist_Fault,Dist_River,Dist_Road,Geology_Nepal_ID,Geology_geo8apg_ID,LULC,NDVI,Nitrogen,Sand_Content,Silt_Content,Soil_Organic_Carbon,Soil_pH,aspect,date,elevation,precipitation,rainfall_360d,rainfall_7d,slope,longitude,latitude,landslide,TPI,TRI,SPI,TWI
0,116.0,213.0,265.0,187.0,40263.82422577886,1098.2361488538272,326.19925710312674,021,0,10,6198.521739130435,3940.0,364.0,372.0,378.0,56.0,60.48338141071413,2017-07-03,1477,0.0,1379.1214764118197,78.5155258178711,12.952645005549469,87.055222,27.167781,1,,,339.7067562966711,8.76745380108408
1,128.0,192.0,319.0,151.0,53522.568899776496,403.04029525687474,21.699836021872553,014,2482,50,4993.869565217391,1928.0,254.0,427.0,284.0,54.0,286.41751772766395,2017-07-05,590,0.0,1152.3627138137815,58.05797338485718,12.903675921252162,85.143062,27.878121,1,,,135.16787750760432,7.853727530819588
2,123.0,179.0,236.0,150.0,21660.36686995691,610.0476469980118,204.8943668491112,030,0,10,6452.826086956522,3452.0,377.0,387.0,283.0,57.0,114.01586321302642,2016-09-21,799,18.134923934936523,1109.6361982822418,54.17667102813721,19.695829348013167,87.322163,26.985606,1,-373.4000000000001,442.93938637244713,286.0178030522288,7.710667834215683
3,121.0,221.0,207.0,188.0,45012.97039292599,126.7578308447074,684.829912027939,030,2375,50,4341.0,4925.0,447.0,346.0,589.0,66.0,302.19467804733915,2016-09-12,1524,0.0,1030.2692756652832,42.281707763671875,16.900137453409567,85.343049,28.18269,1,510.6,448.9117953451435,463.03059608156946,8.520394338340674
4,115.0,200.0,187.0,184.0,26669.45668996694,614.6359056602239,476.0668929624692,010,0,10,6183.869565217391,3499.0,360.0,453.0,444.0,58.0,136.6288776921422,2016-09-20,1472,36.44947814941406,1649.654551029205,18.22473907470703,21.842949110123616,83.405823,28.101232,1,87.0,706.1274672465305,590.0383168027843,8.208567120053099
5,131.0,196.0,239.0,130.0,40524.722925339454,652.5060903670413,485.3235777943042,026,2482,40,5186.913043478261,2384.0,338.0,424.0,290.0,56.0,164.1705274192914,2016-09-06,682,0.0,2582.5741095542908,215.5993690490723,3.850392529499985,84.069015,28.145796,1,-792.8,638.2626418646167,45.900901195034955,9.22357456493441
6,95.0,227.0,209.0,256.0,52534.62583745259,205.64340989096112,9635.993329648803,024,2482,10,6826.521739130435,7594.0,501.0,290.0,919.0,53.0,254.73606218534312,2016-09-02,2448,50.81510925292969,2005.5379576683044,70.89141082763672,36.42211385367598,87.640957,27.513641,1,925.8,651.4930544526165,1806.2800692974786,8.107028488180331
7,116.0,212.0,203.0,172.0,22406.47062817032,227.89047665544675,932.7863742641308,015,2510,10,5726.695652173913,5217.0,351.0,447.0,519.0,56.0,217.91014817487053,2016-09-04,1248,0.0,1298.644071340561,99.62008857727052,47.93142653653462,83.498645,28.377188,1,-77.79999999999995,801.2216921676546,1382.7128437230733,7.0267924206354895
8,113.0,241.0,234.0,170.0,69668.27260870894,1326.2058481855154,126.85495452055083,014,2110,40,5626.347826086957,5622.0,354.0,412.0,584.0,58.0,332.9259788814978,2017-06-29,1761,0.0,1274.3809323310852,105.99793243408205,9.292366390387468,80.630002,29.60012,1,274.5999999999999,715.8437678711745,288.1339019841315,9.28384890746149
9,124.0,188.0,225.0,184.0,32554.181060795403,62.48929242566292,459.346753757468,014,2482,60,5286.347826086957,2169.0,328.0,447.0,330.0,57.0,270.0,2017-07-03,490,0.0,2079.545697927475,158.4735870361328,1.0513785477332755,84.307977,28.107142,1,-800.5999999999999,483.1327974791196,8.99251785022669,10.192417900610975
10,116.0,216.0,206.0,195.0,30716.42468284096,1794.926799377056,653.9063960086319,015,2482,30,6123.217391304348,3751.0,359.0,435.0,417.0,54.0,76.78460698989943,2016-09-18,1485,0.0,1584.8948225975037,32.095462799072266,15.813988433811849,83.583154,28.282927,1,124.0,500.7000099860195,420.6042556665787,8.564647721171122
11,117.0,227.0,222.0,182.0,39763.05889761043,219.75090016659655,419.3568218313176,006,0,30,6543.130434782609,4226.0,320.0,457.0,440.0,59.0,223.15485554920144,2013-06-18,1469,35.404815673828125,1994.4464490413663,208.49416160583496,27.038393038862296,82.553,28.2265,1,224.0,449.42240709604147,749.7332181777214,7.964956918193257
12,111.0,217.0,187.0,197.0,75492.93850794621,413.20981621460106,116.2084054317012,013,2538,30,5237.608695652174,8097.0,433.0,380.0,441.0,56.0,104.8486962321166,2017-07-02,1600,0.0,1624.391161441803,114.95891094207764,10.730453779883597,85.91050294,27.90362599,1,43.40000000000009,315.1321944835215,303.20401982146944,9.041111904789037
13,113.0,185.0,206.0,180.0,13678.324704695608,300.3217107235487,2147.354537150795,040,0,10,6776.869565217391,5661.0,335.0,459.0,411.0,58.0,59.77939412595303,2016-08-31,1181,8.51085090637207,1525.0219378471377,39.99922466278076,54.75247896201824,85.219709,27.503555,1,-629.8,613.9175026011231,1671.2297583317047,6.726918615745738
14,110.0,237.0,208.0,255.0,74755.7018777902,29.86543796313237,1141.3872190102163,030,2538,10,5773.217391304348,6707.0,456.0,336.0,571.0,56.0,194.42716671133272,2014-07-13,2048,13.492015838623049,1652.501609802246,112.56564331054688,36.33278485693849,85.6838,27.9411,1,233.20000000000005,611.1928500890697,1506.210533664702,7.931885777139483
15,99.0,251.0,158.0,217.0,73527.82290295002,647.598033539178,2337.820947302691,030,2538,10,5490.782608695652,6085.0,457.0,385.0,838.0,58.0,260.59560575451314,2011-07-15,2756,49.17172622680664,2016.6012334823608,147.51517868041992,30.72743048105607,85.6846,27.9512,1,883.4000000000001,599.3515662780902,1638.178164031695,8.44173123651891
16,121.0,232.0,218.0,174.0,3622.7801209686745,1662.885501693683,11.752202022848955,010,2341,40,4631.173913043478,3231.0,325.0,457.0,399.0,59.0,0.0,2007-08-24,1489,0.0,1624.0142521858215,0.0,1.8543341688414132,82.6167,28.6167,1,-407.4000000000001,566.4841568834913,48.207181027639855,10.736212071432544
17,117.0,233.0,254.0,179.0,66624.26001871019,918.2678754566492,468.954350107848,020,2074,40,5325.391304347826,5866.0,372.0,374.0,512.0,60.0,243.18219337503257,2017-04-21,1889,5.6212544441223145,1261.85311794281,18.061901569366455,21.538559528686456,81.57140363,29.16952271,1,124.40000000000009,598.1707950075797,745.5658162354315,8.473462320006382
18,116.0,210.0,215.0,171.0,54503.85099390598,120.09624673494928,1803.953956617747,013,2090,10,6902.913043478261,3676.0,326.0,459.0,452.0,60.0,339.03759672554565,2007-09-15,1300,0.0,1272.8374223709106,0.0,5.938012432615523,80.4333,29.5333,1,-314.5999999999999,313.90014335772446,135.2136767288976,9.433382769169235
19,120.0,229.0,231.0,157.0,62561.117281418105,495.5920361936931,297.18126465928714,013,2090,40,6100.913043478261,3933.0,294.0,475.0,440.0,59.0,272.3714194977384,2007-08-12,1389,56.559139251708984,1386.4249666929245,104.38212394714355,21.366621006782168,80.50476155,29.57990613,1,-148.20000000000005,390.88450979797085,543.4098883651728,8.174814791469691
