Dist_Fault,Dist_River,Dist_Road,Geology_Nepal_ID,Geology_geo8apg_ID,LULC,NDVI,aspect,date,elevation,precipitation,rainfall_360d,rainfall_7d,slope,longitude,latitude,Bulk_Density,Soil_Organic_Carbon,CEC,Clay_Content,Coarse_Fragments,Nitrogen,Sand_Content,Silt_Content,Soil_pH
6189.781844985591,311.40109982247066,575.5569988007543,028,0,80,2247.1304347826085,0.0,2024-01-01,180,0,1506.8381009101868,0.0,0.9274099368729609,84.39506358183932,27.68826366363796,,,,,,,,,
6438.1449340391055,139.35878027043304,798.1842863832281,028,0,80,980.2608695652174,0.0,2024-01-01,179,0,1506.8381009101868,0.0,0.0,84.39506358183932,27.68926366363796,,,,,,,,,
6438.1449340391055,139.35878027043304,798.1842863832281,028,0,80,980.2608695652174,180.0,2024-01-01,179,0,1506.8381009101868,0.0,0.9274099368729609,84.39506358183932,27.690263663637957,129.0,360.0,,,,,,,
6686.508131636369,109.25223847440178,1020.8116710384069,028,0,80,3766.913043478261,180.0,2024-01-01,183,0,1506.8381009101868,0.0,3.704791833671086,84.39506358183932,27.69126366363796,128.0,371.0,147.0,159.0,96.0,1744.0,596.0,245.0,62.0
6686.508131636369,109.25223847440178,1020.8116710384069,028,0,50,3766.913043478261,150.5474369592818,2024-01-01,192,0,1506.8381009101868,0.0,2.129313735991578,84.39506358183932,27.69226366363796,136.0,203.0,131.0,148.0,86.0,1633.0,592.0,261.0,60.0
6934.871437780837,357.86336589578735,1243.4391527029513,028,0,50,5057.086956521739,0.0,2024-01-01,194,0,1506.8381009101868,0.0,0.9274099368729609,84.39506358183932,27.693263663637957,136.0,203.0,131.0,148.0,86.0,1633.0,592.0,261.0,60.0
6934.871437780837,357.86336589578735,1243.4391527029513,028,0,40,5057.086956521739,209.45306242938537,2024-01-01,196,0,1506.8381009101868,0.0,2.129324206406864,84.39506358183932,27.69426366363796,136.0,206.0,129.0,179.0,83.0,1620.0,585.0,236.0,59.0
7183.234852481396,606.4746020020183,1157.02653274834,028,0,40,4896.695652173913,48.477296170566376,2024-01-01,192,0,1506.8381009101868,0.0,2.7959907638340167,84.39506358183932,27.69526366363796,136.0,206.0,129.0,179.0,83.0,1620.0,585.0,236.0,59.0
7183.234852481396,606.4746020020183,1157.02653274834,028,0,40,4896.695652173913,0.0,2024-01-01,196,0,1506.8381009101868,0.0,0.0,84.39506358183932,27.696263663637957,136.0,201.0,126.0,164.0,90.0,1718.0,607.0,229.0,60.0
7183.234852481396,606.4746020020183,1157.02653274834,028,0,40,4896.695652173913,220.26657780921883,2024-01-01,193,0,1506.8381009101868,0.0,4.850427561246017,84.39506358183932,27.69726366363796,137.0,199.0,125.0,175.0,63.0,1721.0,593.0,231.0,60.0
